time/(min);t;concentration(g/L);c_conv[999]_old;c_conv[999];c_conv
0;6.44784;0.000322368;0.000213328;0.000481801;0
0.107464;12.89568;0.000590841;0.000481801;0.000549436;0
0.214928;19.34352;0.000658476;0.000549436;0.001606259;0
0.322392;25.79136;0.001715299;0.001606259;0.00299661;0
0.429856;32.2392;0.00310565;0.00299661;0.002818502;0
0.53732;38.68704;0.002927542;0.002818502;0.002339417;0
0.644784;45.13488;0.002448457;0.002339417;0.001945037;0
0.752248;51.58272;0.002054077;0.001945037;0.001578307;0
0.859712;64.4784;0.001687347;0.001578307;0.001188814;0
1.07464;77.37408;0.001297854;0.001188814;0.001014044;0
1.289568;90.26976;0.001123084;0.001014044;0.000858095;0
1.504496;103.16544;0.000967135;0.000858095;0.000681583;0
1.719424;116.06112;0.000790623;0.000681583;0.000513695;0
1.934352;128.9568;0.000622735;0.000513695;0.000377814;0
2.14928;141.85248;0.000486854;0.000377814;0.000288615;0
2.364208;154.74816;0.000397655;0.000288615;0.000210153;0
2.579136;167.64384;0.000319193;0.000210153;0.000148476;0
2.794064;180.53952;0.000257516;0.000148476;0.000107615;0
3.008992;193.4352;0.000216655;0.000107615;9.52E-05;0
3.22392;206.33088;0.000204218;9.52E-05;8.47E-05;0
3.438848;219.22656;0.000193785;8.47E-05;6.66E-05;0
3.653776;232.12224;0.000175687;6.66E-05;5.47E-05;0
3.868704;;0.000163767;5.47E-05;;0
