z_[m],c_product_[mol/m3]
0,0
0.005,0.14582662138283992
0.01,0.24435760673238766
0.015,0.31288218356433645
0.02,0.36160245525333035
0.025,0.3968323553021819
0.03,0.42263884950045083
0.035,0.4417305138292619
0.04,0.45596186144177064
0.045,0.4666318189748637
0.05,0.47466711939495027
0.055,0.48073883744060997
0.06,0.48533869982586353
0.065,0.4888304015895104
0.07,0.49148492726032444
0.075,0.49350536673291556
0.08,0.49504472833699076
0.085,0.4962193412047052
0.09,0.49712133948057324
0.095,0.49784194077939947
0.1,0.4985625420782257
